,Louvain Modularity,NMI,ARI,Conductance
dolphins,0.5201139195443218,0.7698136088015205,0.6510543356091997,0.3684210526315789
les_miserables,0.5555366110732222,0.8062186754999746,0.6320454569637898,0.13043478260869565
network_science_coauthorship,0.9589732161620177,0.4382166479882512,0.04459093941190732,0.0
