Dataset,Nodes,Edges,Communities,Modularity,Conductance,Processing_Time
karate,34,78,3,0.18170611439842205,0.6386312100597814,0.09595823287963867
polbooks,105,441,7,0.272715586612574,0.7185120999875857,1.1024415493011475
strike,24,38,2,0.3725761772853186,0.1976470588235294,0.01985001564025879
